sample	hifi	hifi_num	ont	ont_num
NA19434	/gpfs/project/projects/medbioinf/data/hgsvc_hifi/GM19434/	5	/gpfs/project/projects/medbioinf/data/hgsvc_ontul/NA19434/	2
HG04217	/gpfs/project/projects/medbioinf/data/hgsvc_hifi/HG04217/	3	/gpfs/project/projects/medbioinf/data/hgsvc_ontul/HG04217/	2
HG03807	/gpfs/project/projects/medbioinf/data/hgsvc_hifi/HG03807/	3	/gpfs/project/projects/medbioinf/data/hgsvc_ontul/HG03807/	2
NA19836	/gpfs/project/projects/medbioinf/data/hgsvc_hifi/GM19836/	4	/gpfs/project/projects/medbioinf/data/hgsvc_ontul/HG03807/	2
HG02106	/gpfs/project/projects/medbioinf/data/hgsvc_hifi/HG02106/	5	/gpfs/project/projects/medbioinf/data/hgsvc_ontul/HG02106/	2
HG00268	/gpfs/project/projects/medbioinf/data/hgsvc_hifi/HG00268/	3	/gpfs/project/projects/medbioinf/data/hgsvc_ontul/HG00268/	2
HG03520	/gpfs/project/projects/medbioinf/data/hgsvc_hifi/HG03520/	6	/gpfs/project/projects/medbioinf/data/hgsvc_ontul/HG03520/	2
